proto,port
udp,2362
udp,2967
udp,3052
udp,3130
udp,3283
udp,3296
udp,3343
udp,3389
udp,3401
udp,3456
udp,3457
udp,3659
udp,3664
udp,3702
udp,3703
udp,4000
udp,4008
udp,4045
udp,4444
udp,4500
udp,4666
udp,4672
udp,5000
udp,5001
udp,5002
udp,5003
udp,5010
udp,5050
udp,5060
udp,5093
udp,5351
udp,5353
udp,5355
udp,5500
udp,5555
udp,5632
udp,6000
udp,6001
udp,6002
udp,6004
udp,6050
udp,6346
udp,6347
udp,6970
udp,6971
udp,7000
udp,7938
udp,8000
udp,8001
udp,8010
udp,8181
udp,8193
udp,8900
udp,9000
udp,9001
udp,9020
udp,9103
udp,9199
udp,9200
udp,9370
udp,9876
udp,9877
udp,9950
udp,10000
udp,10080
udp,11487
udp,16086
udp,16402
udp,16420
udp,16430
udp,16433
udp,16449
udp,16498
udp,16503
udp,16545
udp,16548
udp,16573
udp,16674
udp,16680
udp,16697
udp,16700
udp,16708
udp,16711
udp,16739
udp,16766
udp,16779
udp,16786
udp,16816
udp,16829
udp,16832
udp,16838
udp,16839
udp,16862
udp,16896
udp,16912
udp,16918
udp,16919
udp,16938
udp,16939
udp,16947
udp,16948
udp,16970
udp,16972
udp,16974
udp,17006
udp,17018
udp,17077
udp,17091
udp,17101
udp,17146
udp,17184
udp,17185
udp,17205
udp,17207
udp,17219
udp,17236
udp,17237
udp,17282
udp,17302
udp,17321
udp,17331
udp,17332
udp,17338
udp,17359
udp,17417
udp,17423
udp,17424
udp,17455
udp,17459
udp,17468
udp,17487
udp,17490
udp,17494
udp,17505
udp,17533
udp,17549
udp,17573
udp,17580
udp,17585
udp,17592
udp,17605
udp,17615
udp,17616
udp,17629
udp,17638
udp,17663
udp,17673
udp,17674
udp,17683
udp,17726
udp,17754
udp,17762
udp,17787
udp,17814
udp,17823
udp,17824
udp,17836
udp,17845
udp,17888
udp,17939
udp,17946
udp,17989
udp,18004
udp,18081
udp,18113
udp,18134
udp,18156
udp,18228
udp,18234
udp,18250
udp,18255
udp,18258
udp,18319
udp,18331
udp,18360
udp,18373
udp,18449
udp,18485
udp,18543
udp,18582
udp,18605
udp,18617
udp,18666
udp,18669
udp,18676
udp,18683
udp,18807
udp,18818
udp,18821
udp,18830
udp,18832
udp,18835
udp,18869
udp,18883
udp,18888
udp,18958
udp,18980
udp,18985
udp,18987
udp,18991
udp,18994
udp,18996
udp,19017
udp,19022
udp,19039
udp,19047
udp,19075
udp,19096
udp,19120
udp,19130
udp,19140
udp,19141
udp,19154
udp,19161
udp,19165
udp,19181
udp,19193
udp,19197
udp,19222
udp,19227
udp,19273
udp,19283
udp,19294
udp,19315
udp,19322
udp,19332
udp,19374
udp,19415
udp,19482
udp,19489
udp,19500
udp,19503
udp,19504
udp,19541
udp,19600
udp,19605
udp,19616
udp,19624
udp,19625
udp,19632
udp,19639
udp,19647
udp,19650
udp,19660
udp,19662
udp,19663
udp,19682
udp,19683
udp,19687
udp,19695
